Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
19,Alvin Kamara *,NOR,25,rb,15,10,107,83,77.60%,756,9.1,5,35,52,7.1,5.5,50.4,1
20,D.K. Metcalf*,SEA,23,WR,16,16,129,83,64.30%,1303,15.7,10,63,62,10.1,5.2,81.4,1
21,Cole Beasley,BUF,31,wr,15,10,107,82,76.60%,967,11.8,4,53,35,9,5.5,64.5,0
22,Brandin Cooks,HOU,27,WR,15,15,119,81,68.10%,1150,14.2,6,51,57,9.7,5.4,76.7,0
23,J.D. McKissic,WAS,27,rb,16,7,110,80,72.70%,589,7.4,2,32,29,5.4,5,36.8,3
24,Tyler Boyd,CIN,26,wr,15,8,110,79,71.80%,841,10.6,4,43,72,7.6,5.3,56.1,1
25,Curtis Samuel,CAR,24,wr,15,5,97,77,79.40%,851,11.1,3,39,44,8.8,5.1,56.7,1
26,Marvin Jones,DET,30,WR,16,16,115,76,66.10%,978,12.9,9,52,43,8.5,4.8,61.1,0
27,CeeDee Lamb,DAL,21,WR,16,14,111,74,66.70%,935,12.6,5,46,52,8.4,4.6,58.4,2
28,Adam Thielen,MIN,30,WR,15,15,108,74,68.50%,925,12.5,14,52,51,8.6,4.9,61.7,0
29,Russell Gage,ATL,24,wr,16,8,109,72,66.10%,786,10.9,4,50,35,7.2,4.5,49.1,0
30,Jarvis Landry,CLE,28,WR,15,14,101,72,71.30%,840,11.7,3,46,32,8.3,4.8,56,2
31,Logan Thomas,WAS,29,TE,16,15,110,72,65.50%,670,9.3,6,36,30,6.1,4.5,41.9,0
32,A.J. Brown*,TEN,23,WR,14,12,106,70,66.00%,1075,15.4,11,55,73,10.1,5,76.8,2
33,Mike Evans,TAM,27,WR,16,16,109,70,64.20%,1006,14.4,13,55,50,9.2,4.4,62.9,0
34,Tee Higgins,CIN,21,WR,16,14,108,67,62.00%,908,13.6,6,52,67,8.4,4.2,56.8,1
35,T.J. Hockenson *,DET,23,TE,16,16,101,67,66.30%,723,10.8,6,40,51,7.2,4.2,45.2,1
36,D.J. Moore,CAR,23,WR,15,14,118,66,55.90%,1193,18.1,4,53,74,10.1,4.4,79.5,0
37,Sterling Shepard,NYG,27,WR,12,12,90,66,73.30%,656,9.9,3,37,29,7.3,5.5,54.7,0
38,Corey Davis,TEN,25,WR,14,12,92,65,70.70%,984,15.1,5,49,75,10.7,4.6,70.3,1
39,Chris Godwin,TAM,24,WR,12,12,84,65,77.40%,840,12.9,7,43,47,10,5.4,70,1
40,Evan Engram *,NYG,26,TE,16,14,109,63,57.80%,654,10.4,1,29,53,6,3.9,40.9,1
41,Nyheim Hines,IND,24,rb,16,2,76,63,82.90%,482,7.7,4,24,29,6.3,3.9,30.1,0
42,DeVante Parker,MIA,27,WR,14,11,103,63,61.20%,793,12.6,4,45,31,7.7,4.5,56.6,1
43,Dalton Schultz,DAL,24,TE,16,14,89,63,70.80%,615,9.8,4,33,28,6.9,3.9,38.4,1
44,Chase Claypool,PIT,22,wr,16,6,109,62,56.90%,873,14.1,9,41,84,8,3.9,54.6,3
45,Noah Fant,DEN,23,TE,15,14,93,62,66.70%,673,10.9,3,34,37,7.2,4.1,44.9,0
46,Darnell Mooney,CHI,23,wr,16,9,98,61,62.20%,631,10.3,4,33,53,6.4,3.8,39.4,1
47,Emmanuel Sanders,NOR,33,wr,14,5,82,61,74.40%,726,11.9,5,33,51,8.9,4.4,51.9,1
48,Brandon Aiyuk,SFO,22,WR,12,11,96,60,62.50%,748,12.5,5,42,49,7.8,5,62.3,0
49,Hunter Henry,LAC,26,TE,14,14,93,60,64.50%,613,10.2,4,35,33,6.6,4.3,43.8,0
50,Jamison Crowder,NYJ,27,wr,12,7,89,59,66.30%,699,11.8,6,32,69,7.9,4.9,58.3,0
51,Mike Davis,CAR,27,RB,15,12,70,59,84.30%,373,6.3,2,17,23,5.3,3.9,24.9,1
52,Michael Gallup,DAL,24,WR,16,15,105,59,56.20%,843,14.3,5,44,55,8,3.7,52.7,0
53,Jakobi Meyers,NWE,24,wr,14,9,81,59,72.80%,729,12.4,0,37,35,9,4.2,52.1,1
54,Mark Andrews,BAL,25,te,14,2,88,58,65.90%,701,12.1,7,37,39,8,4.1,50.1,2
55,Marquise Brown,BAL,23,WR,16,14,100,58,58.00%,769,13.3,8,35,70,7.7,3.6,48.1,0
56,Laviska Shenault Jr.,JAX,22,WR,14,12,79,58,73.40%,600,10.3,5,33,36,7.6,4.1,42.9,0
57,Eric Ebron,PIT,27,te,15,9,91,56,61.50%,558,10,5,30,27,6.1,3.7,37.2,1
58,T.Y. Hilton,IND,31,WR,15,15,93,56,60.20%,762,13.6,5,42,50,8.2,3.7,50.8,0
59,Hayden Hurst,ATL,27,te,16,9,88,56,63.60%,571,10.2,6,35,42,6.5,3.5,35.7,0
60,Hunter Renfrow,LVR,25,wr,16,6,77,56,72.70%,656,11.7,2,32,53,8.5,3.5,41,2
61,Keelan Cole,JAX,27,wr,16,5,88,55,62.50%,642,11.7,5,34,51,7.3,3.4,40.1,0
62,Austin Ekeler,LAC,25,rb,10,10,65,54,83.10%,403,7.5,2,20,28,6.2,5.4,40.3,1
63,Larry Fitzgerald,ARI,37,WR,13,13,72,54,75.00%,409,7.6,1,25,18,5.7,4.2,31.5,0
