,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
343,Derius Davis,LAC,WR,23,17,2,0,0,0,0,0,14,101,7.21,0,17,15,66,4.40,0,3,1,1,,,21,35.7,39.7,28.2,,133,
344,Van Jefferson,2TM,WR,27,17,9,0,0,0,0,0,1,4,4.00,0,43,20,209,10.45,0,0,0,0,,,21,41.3,44.3,31.3,,132,
345,Will Mallory,IND,TE,24,12,2,0,0,0,0,0,0,0,,0,26,18,207,11.50,0,1,0,0,,,21,38.7,41.7,29.7,,59,
346,Jamison Crowder,WAS,WR,30,17,0,0,0,0,0,0,0,0,,0,20,16,159,9.94,1,2,1,1,,,20,35.9,39.9,27.9,,135,
347,P.J. Walker,CLE,QB,28,6,2,54,111,674,1,5,13,30,2.31,0,0,0,0,,0,4,2,0,,,20,20.0,30.0,25.0,,58,
348,Quez Watkins,PHI,WR,25,9,5,0,0,0,0,0,0,0,,0,21,15,142,9.47,1,0,0,1,,,20,35.2,38.2,27.7,,134,
349,Robbie Chosen,MIA,WR,30,9,0,0,0,0,0,0,0,0,,0,6,4,126,31.50,1,0,0,1,,,19,22.6,25.6,20.6,,137,
350,Nick Chubb,CLE,RB,28,2,2,0,0,0,0,0,28,170,6.07,0,4,4,21,5.25,0,0,0,0,,,19,23.1,26.1,21.1,,87,
351,Malik Heath,GNB,WR,23,13,1,0,0,0,0,0,0,0,,0,24,15,125,8.33,1,0,0,1,,,19,33.5,36.5,26.0,,138,
352,Luke Schoonmaker,DAL,TE,25,17,0,0,0,0,0,0,0,0,,0,15,8,65,8.13,2,0,0,2,,,19,26.5,26.5,22.5,,60,
353,Tyler Scott,CHI,WR,22,17,4,0,0,0,0,0,7,41,5.86,0,32,17,168,9.88,0,1,1,0,,,19,35.9,39.9,27.4,,136,
354,Patrick Taylor,GNB,RB,25,11,0,0,0,0,0,0,32,141,4.41,0,17,11,49,4.45,0,0,0,0,,,19,30.0,33.0,24.5,,88,
355,River Cracraft,MIA,WR,29,10,1,0,0,0,0,0,0,0,,0,12,9,121,13.44,1,0,0,1,,,18,27.1,30.1,22.6,,139,
356,Kevin Harris,NWE,RB,23,4,0,0,0,0,0,0,16,65,4.06,1,3,3,58,19.33,0,0,0,1,,,18,21.3,21.3,19.8,,89,
357,Davis Mills,HOU,QB,25,6,0,18,39,173,2,0,2,9,4.50,0,0,0,0,,0,0,0,0,,1,18,17.8,17.8,17.8,,59,
358,Deven Thompkins,TAM,WR,24,17,1,0,0,0,0,0,8,56,7.00,0,25,17,83,4.88,1,3,1,1,,,18,34.9,35.9,26.4,,140,
359,Melvin Gordon,BAL,RB,30,4,0,0,0,0,0,0,26,81,3.12,1,3,3,46,15.33,0,1,1,1,,,17,19.7,20.7,18.2,,92,
360,Damien Harris,BUF,RB,26,6,0,0,0,0,0,0,23,94,4.09,1,2,2,16,8.00,0,0,0,1,,,17,19.0,19.0,18.0,,91,
361,Connor Heyward,PIT,TE,24,17,7,0,1,0,0,0,1,0,0.00,0,34,23,167,7.26,0,0,0,0,,,17,39.7,42.7,28.2,,62,
362,Ray-Ray McCloud,SFO,WR,27,12,1,0,0,0,0,0,3,30,10.00,0,15,12,135,11.25,0,1,0,0,,,17,28.5,31.5,22.5,,141,
363,MyCole Pruitt,ATL,TE,31,17,8,0,0,0,0,0,0,0,,0,12,9,110,12.22,1,1,0,1,,,17,26.0,29.0,21.5,,61,
364,Trey Sermon,IND,RB,24,14,0,0,0,0,0,0,35,160,4.57,0,6,3,13,4.33,0,0,0,0,,,17,20.3,23.3,18.8,,90,
365,Davis Allen,LAR,TE,22,15,1,0,0,0,0,0,0,0,,0,11,10,95,9.50,1,0,0,1,,,16,25.5,25.5,20.5,,63,
366,Luke Farrell,JAX,TE,26,17,8,0,0,0,0,0,0,0,,0,15,13,155,11.92,0,0,0,0,,,16,28.5,31.5,22.0,,64,
367,Lucas Krull,DEN,TE,25,7,2,0,0,0,0,0,0,0,,0,14,8,95,11.88,1,0,0,1,,,16,23.5,23.5,19.5,,65,
368,John Metchie,HOU,WR,23,16,0,0,0,0,0,0,1,4,4.00,0,30,16,158,9.88,0,0,0,0,,,16,32.2,35.2,24.2,,142,
369,Donovan Peoples-Jones,2TM,WR,24,15,6,0,0,0,0,0,0,0,,0,25,13,155,11.92,0,1,0,0,,,16,28.5,31.5,22.0,,144,
370,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Kyle Philips,TEN,WR,24,9,0,0,0,0,0,0,0,0,,0,22,15,181,12.07,0,1,1,0,,,16,31.1,35.1,23.6,,143,
372,Irv Smith Jr.,CIN,TE,25,12,6,0,0,0,0,0,0,0,,0,26,18,115,6.39,1,1,1,1,,,16,33.5,37.5,24.5,,66,
373,John Bates,WAS,TE,26,17,4,0,0,0,0,0,0,0,,0,28,19,151,7.95,0,0,0,0,,,15,34.1,37.1,24.6,,68,
374,Jalen Guyton,LAC,WR,26,8,3,0,0,0,0,0,0,0,,0,21,10,89,8.90,1,0,0,1,,,15,24.9,24.9,19.9,,146,
375,Charlie Kolar,BAL,TE,24,15,3,0,0,0,0,0,0,0,,0,9,7,87,12.43,1,0,0,1,,,15,21.7,21.7,18.2,,71,
376,David Moore,TAM,WR,28,7,0,0,0,0,0,0,0,0,,0,7,5,94,18.80,1,0,0,1,,,15,20.4,20.4,17.9,,145,
377,Ronnie Rivers,LAR,RB,24,9,1,0,0,0,0,0,32,129,4.03,0,5,5,22,4.40,0,0,0,0,,,15,20.1,23.1,17.6,,93,
378,Jeremy Ruckert,NYJ,TE,23,15,6,0,0,0,0,0,0,0,,0,22,16,151,9.44,0,0,0,0,,,15,31.1,34.1,23.1,,69,
379,Trent Sherfield,BUF,WR,27,17,1,0,0,0,0,0,0,0,,0,22,11,86,7.82,1,0,0,1,,,15,25.6,25.6,20.1,,147,
380,Josh Whyle,TEN,TE,24,11,3,0,0,0,0,0,0,0,,0,15,9,94,10.44,1,0,0,1,,,15,24.4,24.4,19.9,,67,
381,Brock Wright,DET,TE,25,14,4,0,0,0,0,0,0,0,,0,14,13,91,7.00,1,0,0,1,,,15,28.1,28.1,21.6,,70,
382,Chase Claypool,2TM,WR,25,12,2,0,0,0,0,0,0,0,,0,21,8,77,9.63,1,0,0,1,,,14,21.7,21.7,17.7,,152,
383,Jeff Driskel,CLE,QB,30,1,1,13,26,166,2,2,7,33,4.71,0,0,0,0,,0,0,0,0,,,14,13.9,15.9,15.9,,60,
384,Xavier Hutchinson,HOU,WR,23,16,0,0,0,0,0,0,5,49,9.80,0,19,8,90,11.25,0,0,0,0,,,14,21.9,21.9,17.9,,150,
385,Charlie Jones,CIN,WR,25,11,0,0,0,0,0,0,2,13,6.50,0,9,7,64,9.14,0,0,0,1,,,14,20.7,20.7,17.2,,153,
386,Terrace Marshall Jr.,CAR,WR,23,9,4,0,0,0,0,0,0,0,,0,33,19,139,7.32,0,1,0,0,,,14,32.9,35.9,23.4,,151,
387,Byron Pringle,WAS,WR,30,17,1,0,0,0,0,0,0,0,,0,22,14,161,11.50,0,1,1,0,,,14,28.1,32.1,21.1,,149,
388,Ben Skowronek,LAR,WR,26,17,0,0,0,0,0,0,2,9,4.50,0,12,8,66,8.25,1,0,0,1,,,14,21.5,21.5,17.5,,154,
389,Tyquan Thornton,NWE,WR,23,9,3,0,0,0,0,0,3,51,17.00,0,23,13,91,7.00,0,0,0,0,,,14,27.2,27.2,20.7,,148,
390,Jordan Akins,CLE,TE,31,17,4,0,0,0,0,0,0,0,,0,23,15,132,8.80,0,0,0,0,,,13,28.2,31.2,20.7,,72,
391,Isaiah Spiller,LAC,RB,22,9,0,0,0,0,0,0,37,96,2.59,0,6,6,34,5.67,0,0,0,0,,,13,19.0,19.0,16.0,,94,
392,Stephen Sullivan,CAR,TE,27,11,0,0,0,0,0,0,0,0,,0,24,12,125,10.42,0,0,0,0,,,13,24.5,27.5,18.5,,73,
